State,District,City,Latitude,Longitude,Population,Year,Murder,Attempt_to_Murder,Kidnapping_Abduction,Rape,Assault,Riots,Theft,Burglary,Robbery,Dacoity,Auto_Theft,Cheating_Fraud,Cyber_Crime,Dowry_Deaths,Domestic_Violence,Drug_Offences,Arms_Act_Offences,Total_Estimated_Crimes
Andhra Pradesh,Kurnool,Alluru,15.1336,78.4975,42545.0,2020,0,0,1,2,7,0,50,14,6,0,11,7,7,0,5,4,1,126
Andhra Pradesh,Kurnool,Alur,15.3942,77.2264,14426.0,2020,0,0,0,0,1,0,24,5,2,0,5,2,3,0,1,0,0,44
Andhra Pradesh,Rangareddi,Alwal,17.5047,78.5038,123031.0,2020,2,2,6,4,16,3,184,52,27,4,54,30,35,1,18,10,6,422
Andhra Pradesh,East Godavari,Amalapuram,16.5787,82.0061,53231.0,2020,0,0,2,3,5,2,56,16,10,1,17,14,14,0,12,5,5,171
Andhra Pradesh,Mahbubnagar,Amangal,16.8499,78.5327,27016.0,2020,0,0,2,1,3,0,32,7,4,0,9,7,6,0,5,2,1,79
Andhra Pradesh,Anantapur,Amarapuuram,14.1333,76.9833,11950.0,2020,0,0,0,0,2,0,14,3,0,0,4,3,3,0,2,0,0,34
Andhra Pradesh,Guntur,Amaravati,16.5131,80.5165,103000.0,2020,1,3,4,4,19,4,125,31,15,2,35,27,21,0,16,9,6,314
Andhra Pradesh,Mahbubnagar,Amarchinta,16.374,77.7729,11225.0,2020,0,0,0,0,1,0,11,5,1,0,3,2,2,0,1,0,0,28
Andhra Pradesh,Nalgonda,Ambala,17.65,79.05,18054.0,2020,0,0,0,0,1,0,15,9,2,0,4,5,4,0,2,0,0,47
Andhra Pradesh,Medak,Aminpur,17.5241,78.3242,17790.0,2020,0,0,0,0,1,0,13,6,1,0,4,4,3,0,2,1,0,47
Andhra Pradesh,Prakasam,Ammanabrolu,15.5802,80.1488,9938.0,2020,0,0,0,0,1,0,9,2,1,0,1,2,1,0,1,0,0,23
Andhra Pradesh,Mahbubnagar,Amrabad,16.3833,78.8333,13753.0,2020,0,0,0,0,1,0,19,3,1,0,3,3,2,0,3,1,0,45
Andhra Pradesh,Guntur,Amudalapalle,15.9301,80.6899,8591.0,2020,0,0,0,0,0,0,7,1,1,0,2,0,2,0,1,0,0,17
Andhra Pradesh,Srikakulam,Amudalavalasa,18.4167,83.9,39799.0,2020,0,0,1,0,5,0,35,12,6,0,10,8,9,0,7,3,2,115
Andhra Pradesh,Vishakhapatnam,Anakapalle,17.6913,83.0039,86519.0,2020,0,2,3,2,16,2,101,27,13,1,22,21,13,0,15,8,5,266
Andhra Pradesh,Chittoor,Ananipalle,13.4902,79.2895,44219.0,2020,0,0,0,0,6,0,35,14,6,1,16,8,9,0,5,2,3,120
Andhra Pradesh,West Godavari,Anantapalle,16.9767,81.4442,16092.0,2020,0,0,0,0,1,0,14,7,2,0,5,2,1,0,1,1,1,39
Andhra Pradesh,Anantapur,Anantapur,14.68,77.599,267161.0,2020,4,8,16,13,31,11,349,134,49,7,96,53,46,2,48,34,22,866
Andhra Pradesh,Cuddapah,Anantarazupeta,14.0014,79.3319,14287.0,2020,0,0,0,0,2,0,16,5,2,0,3,3,1,0,2,1,1,40
Andhra Pradesh,Nellore,Anantasagaram,14.5833,79.4167,8588.0,2020,0,0,0,0,1,0,6,2,1,0,1,1,1,0,0,0,0,15
Andhra Pradesh,Guntur,Angalakuduru Malepalle,16.2392,80.6117,9920.0,2020,0,0,0,0,0,0,10,3,1,0,1,2,1,0,1,0,0,22
Andhra Pradesh,Chittoor,Angallu,13.6287,78.4857,8715.0,2020,0,0,0,0,0,0,10,1,1,0,2,2,1,0,2,0,0,20
Andhra Pradesh,Prakasam,Ankireddikuntapalem,15.9154,80.2108,22256.0,2020,0,0,1,0,1,0,28,5,3,0,9,7,6,0,4,2,0,71
Andhra Pradesh,Nalgonda,Annaram,16.784,79.302,13994.0,2020,0,0,0,0,1,0,18,4,2,0,3,3,2,0,1,0,0,38
Andhra Pradesh,West Godavari,Anndevarapeta,17.0937,81.5799,12093.0,2020,0,0,0,0,0,0,11,3,1,0,2,2,1,0,0,0,0,29
Andhra Pradesh,East Godavari,Antarvedi,16.3333,81.7333,15605.0,2020,0,0,0,0,1,0,17,4,2,0,5,3,2,0,2,0,0,36
Andhra Pradesh,East Godavari,Antarvedipalem,16.3319,81.732,14162.0,2020,0,0,0,0,2,0,20,3,3,0,4,3,4,0,2,1,0,47
Andhra Pradesh,West Godavari,Apparaopeta,16.8987,81.5684,10237.0,2020,0,0,0,0,1,0,16,3,2,0,3,1,1,0,2,1,0,33
Andhra Pradesh,Karimnagar,Aravelli,18.719,79.0262,10537.0,2020,0,0,0,0,0,0,14,4,1,0,3,1,1,0,2,0,0,30
Andhra Pradesh,Nizamabad,Armur,18.79,78.29,64023.0,2020,1,1,4,4,6,1,75,21,8,1,18,13,10,0,15,4,4,195
Andhra Pradesh,Warangal,Arrapalli,18.0718,79.7386,9546.0,2020,0,0,0,0,1,0,11,2,0,0,3,2,1,0,1,0,0,24
Andhra Pradesh,West Godavari,Arugollu,16.8253,81.5775,13767.0,2020,0,0,0,0,1,0,17,4,1,0,5,2,3,0,2,1,0,39
Andhra Pradesh,Rangareddi,Arutla,17.1346,78.7574,11997.0,2020,0,0,0,0,1,0,18,3,1,0,3,1,2,0,1,1,0,32
Andhra Pradesh,Adilabad,Asafabad,19.365,79.274,23059.0,2020,0,0,0,1,3,0,31,8,2,0,7,4,6,0,3,2,2,85
Andhra Pradesh,Vishakhapatnam,Asakapalle,17.7364,83.3,18247.0,2020,0,0,0,1,2,0,17,6,2,0,4,3,4,0,2,1,0,49
Andhra Pradesh,Khammam,Ashwaraopeta,17.25,81.1333,24405.0,2020,0,0,0,0,2,0,22,10,4,0,7,7,4,0,5,1,1,65
Andhra Pradesh,Mahbubnagar,Asudapuram,15.878,78.132,9350.0,2020,0,0,0,0,1,0,9,3,1,0,1,1,2,0,2,0,0,24
Andhra Pradesh,Khammam,Aswapuram,17.8348,80.8236,22044.0,2020,0,0,0,0,3,0,25,9,3,0,5,4,6,0,4,1,1,67
Andhra Pradesh,Prakasam,Atchampeta,15.5412,78.9503,55722.0,2020,0,0,3,1,7,1,80,17,10,0,14,12,13,0,9,3,4,181
Andhra Pradesh,West Godavari,Atlapadu,16.8877,81.6772,9723.0,2020,0,0,0,0,1,0,9,3,0,0,4,0,0,0,2,0,0,21
Andhra Pradesh,Kurnool,Atmakur,15.8779,78.5884,39794.0,2020,0,0,0,1,6,1,41,20,5,1,15,9,6,0,8,3,3,118
Andhra Pradesh,Anantapur,Atmakuru,14.6452,77.3554,12926.0,2020,0,0,0,0,2,0,17,5,1,0,2,3,1,0,1,0,0,43
Andhra Pradesh,West Godavari,Attili,16.7,81.6,25004.0,2020,0,0,1,1,3,0,20,13,4,0,6,4,4,0,3,0,0,62
Andhra Pradesh,Krishna,Avanigadda,16.0197,80.92,23737.0,2020,0,0,1,1,1,0,23,11,4,0,8,5,6,0,4,1,1,72
Andhra Pradesh,Khammam,Ayyagarpet,17.2197,80.8339,27393.0,2020,0,0,0,1,3,1,31,10,4,0,9,3,7,0,5,1,2,73
Andhra Pradesh,Warangal,Bachchannapet,17.7883,79.0349,8779.0,2020,0,0,0,0,0,0,10,3,0,0,3,1,2,0,1,0,0,21
Andhra Pradesh,Mahbubnagar,Badepalli,16.7549,78.1443,39374.0,2020,0,0,0,1,4,0,41,18,5,0,15,10,9,0,8,3,2,133
Andhra Pradesh,Rangareddi,Badurpalle,17.5468,78.365,48835.0,2020,1,1,1,2,7,0,54,21,9,0,18,11,10,0,8,2,3,167
Andhra Pradesh,Cuddapah,Badvel,14.75,79.05,70626.0,2020,0,1,2,2,6,1,70,30,15,1,17,17,16,0,11,4,4,190
Andhra Pradesh,Warangal,Baladharmaram,17.4104,79.969,14721.0,2020,0,0,0,0,1,0,17,6,1,0,3,2,2,0,3,1,0,42
Andhra Pradesh,Vishakhapatnam,Balighattam,17.651,82.6059,16695.0,2020,0,0,0,0,3,0,19,7,1,0,6,4,3,0,3,0,0,49
Andhra Pradesh,Nizamabad,Balkonda,18.8726,78.3432,15644.0,2020,0,0,0,0,2,0,21,5,2,0,5,4,2,0,2,1,1,46
Andhra Pradesh,East Godavari,Bandamurlanka,16.4437,81.9772,8576.0,2020,0,0,0,0,1,0,8,2,0,0,3,1,0,0,1,0,0,19
Andhra Pradesh,Rangareddi,Bandlaguda,17.3543,78.3853,12734.0,2020,0,0,0,0,2,0,14,3,2,0,4,3,2,0,2,1,0,31
Andhra Pradesh,Kurnool,Banganapalle,15.3167,78.2333,20749.0,2020,0,0,0,1,3,0,24,10,3,0,7,6,4,0,3,1,0,65
Andhra Pradesh,Nizamabad,Banswada,18.3833,77.8833,28384.0,2020,0,0,0,0,4,1,24,13,6,0,9,7,6,0,6,1,1,92
Andhra Pradesh,Guntur,Bapatla,15.9044,80.4675,70777.0,2020,0,2,2,3,13,2,70,27,14,2,18,19,17,0,11,6,4,211
Andhra Pradesh,Nizamabad,Bardipuram,18.6431,78.1584,10987.0,2020,0,0,0,0,1,0,14,2,1,0,3,1,1,0,0,1,0,29
Andhra Pradesh,Anantapur,Battulapalle,14.5167,77.7833,12697.0,2020,0,0,0,0,1,0,13,2,1,0,4,2,2,0,2,0,0,29
Andhra Pradesh,Khammam,Bayaram,18.0506,80.7375,9354.0,2020,0,0,0,0,1,0,11,1,1,0,1,2,2,0,1,0,0,21
Andhra Pradesh,West Godavari,Bayyanagudem,17.125,81.3628,11666.0,2020,0,0,0,0,1,0,10,2,1,0,3,3,2,0,1,0,0,27
Andhra Pradesh,Vishakhapatnam,Bayyavaram,17.6638,82.942,8953.0,2020,0,0,0,0,0,0,13,2,0,0,3,1,2,0,1,0,0,23
Andhra Pradesh,Kurnool,Belagal,15.8183,77.6702,12603.0,2020,0,0,0,0,0,0,18,3,1,0,3,1,2,0,3,1,0,35
Andhra Pradesh,Adilabad,Belampalli,19.0756,79.4881,55841.0,2020,0,1,3,3,5,1,61,19,11,1,12,12,10,0,11,5,3,156
Andhra Pradesh,Guntur,Bellamkonda,16.4922,80.0089,10169.0,2020,0,0,0,0,0,0,11,4,0,0,2,1,2,0,1,1,0,26
Andhra Pradesh,East Godavari,Bendapudi,17.2673,82.3758,9247.0,2020,0,0,0,0,1,0,10,3,1,0,3,0,1,0,0,0,0,25
Andhra Pradesh,Prakasam,Bestavarapeta,15.55,79.1167,51062.0,2020,0,0,3,2,9,1,67,15,10,0,22,10,7,0,7,3,2,175
Andhra Pradesh,Kurnool,Betamcherla,15.4667,78.1667,38994.0,2020,0,0,2,2,5,1,34,16,6,0,17,11,6,0,6,2,2,112
Andhra Pradesh,Khammam,Bhadrachalam,17.6669,80.8826,50087.0,2020,0,0,3,1,6,2,66,27,6,0,22,9,13,0,6,3,2,163
Andhra Pradesh,Adilabad,Bhainsa,19.1,77.9667,49764.0,2020,1,0,3,1,8,2,63,24,10,1,21,9,9,0,8,5,2,153
Andhra Pradesh,Kurnool,Bhanumukkala,15.3119,78.2277,15309.0,2020,0,0,1,0,2,0,16,4,2,0,6,4,3,0,2,1,1,49
Andhra Pradesh,Warangal,Bhatpalli,18.4293,79.8635,42387.0,2020,0,0,2,1,5,0,39,14,9,1,16,11,6,0,5,3,4,134
Andhra Pradesh,Guntur,Bhattiprolu,16.1026,80.7807,11092.0,2020,0,0,0,0,1,0,11,2,1,0,2,3,2,0,1,1,0,28
Andhra Pradesh,West Godavari,Bhimadolu,16.8144,81.2617,13669.0,2020,0,0,0,0,1,0,17,3,1,0,4,2,3,0,2,1,0,38
Andhra Pradesh,West Godavari,Bhimavaram,16.543,81.523,142184.0,2020,1,3,10,5,17,3,127,53,20,4,59,29,40,0,27,14,13,392
Andhra Pradesh,Vishakhapatnam,Bhimunipatnam,17.8846,83.4393,55082.0,2020,0,0,3,2,5,1,65,19,5,0,24,12,11,0,13,3,5,163
Andhra Pradesh,Vizianagaram,Bhogapuram,18.0311,83.4967,9341.0,2020,0,0,0,0,1,0,8,3,0,0,2,0,0,0,1,0,0,22
Andhra Pradesh,Nalgonda,Bhongir,17.51,78.89,53339.0,2020,0,1,1,2,9,1,54,17,7,2,16,12,10,0,8,5,3,154
Andhra Pradesh,Nizamabad,Bibipet,18.2101,78.5221,11840.0,2020,0,0,0,0,0,0,15,4,2,0,5,3,2,0,0,0,1,38
Andhra Pradesh,Nizamabad,Bichkunda,18.4,77.7167,13213.0,2020,0,0,0,0,0,0,19,4,1,0,5,3,2,0,2,1,1,41
Andhra Pradesh,East Godavari,Bikkavolu,16.95,82.05,14278.0,2020,0,0,0,0,1,0,19,6,1,0,5,3,2,0,3,1,0,42
Andhra Pradesh,Nizamabad,Biknur,18.215,78.4367,11787.0,2020,0,0,0,0,1,0,16,5,0,0,4,1,2,0,1,0,0,35
Andhra Pradesh,West Godavari,Billapadu,16.6364,80.9661,15223.0,2020,0,0,0,0,1,0,19,5,1,0,4,3,2,0,2,1,1,46
Andhra Pradesh,Nizamabad,Bimgal,18.7,78.4667,15446.0,2020,0,0,0,0,2,0,19,3,2,0,2,2,3,0,2,1,1,37
Andhra Pradesh,Vizianagaram,Bobbili,18.5667,83.3667,56819.0,2020,1,1,3,3,10,1,70,18,12,0,17,11,14,0,9,5,3,164
Andhra Pradesh,Nellore,Bodagudipadu,14.7385,79.8602,13733.0,2020,0,0,0,0,1,0,20,4,2,0,5,3,2,0,3,0,0,45
Andhra Pradesh,Prakasam,Boddikurapadu,15.6591,79.7509,9329.0,2020,0,0,0,0,1,0,11,2,1,0,2,1,2,0,2,0,0,21
Andhra Pradesh,Nizamabad,Bodhan,18.67,77.9,77573.0,2020,0,1,3,4,10,2,95,23,14,3,30,20,21,0,16,7,4,276
Andhra Pradesh,Rangareddi,Bodupal,17.4139,78.5783,43692.0,2020,0,0,2,1,4,0,51,15,8,1,15,11,11,0,7,2,3,149
Andhra Pradesh,Karimnagar,Bomareddipalli,18.7044,79.1568,9998.0,2020,0,0,0,0,0,0,9,2,0,0,4,2,1,0,2,0,0,25
Andhra Pradesh,Anantapur,Bommagondanahalli,13.8984,77.0733,8715.0,2020,0,0,0,0,0,0,7,3,0,0,3,0,1,0,2,0,0,20
Andhra Pradesh,West Godavari,Bondada,16.5295,81.4549,13205.0,2020,0,0,0,0,1,0,11,4,2,0,3,2,3,0,3,1,0,31
Andhra Pradesh,Khammam,Borgampad,17.65,80.8667,10235.0,2020,0,0,0,0,1,0,12,2,1,0,2,2,1,0,1,1,0,30
Andhra Pradesh,East Godavari,Brahmanandapuram,16.9583,82.0056,14000.0,2020,0,0,0,0,1,0,13,4,1,0,3,2,1,0,1,0,1,33
Andhra Pradesh,Nellore,Buchireddipalem,14.538,79.875,38405.0,2020,0,1,2,0,3,1,46,16,6,0,13,10,6,0,7,1,3,106
Andhra Pradesh,Anantapur,Buddayyakota,13.8196,78.1729,26191.0,2020,0,0,1,0,1,1,39,10,3,0,6,5,6,0,5,1,1,91
Andhra Pradesh,Anantapur,Budili,13.9353,77.7355,11200.0,2020,0,0,0,0,1,0,11,2,1,0,4,3,1,0,2,1,0,29
Andhra Pradesh,Kurnool,Bugganipalle,15.4741,78.175,15416.0,2020,0,0,0,0,2,0,14,5,1,0,5,4,1,0,2,0,0,35
Andhra Pradesh,Anantapur,Bukkapatnam,14.2,77.8,12196.0,2020,0,0,0,0,2,0,16,5,1,0,4,2,1,0,1,0,1,33
Andhra Pradesh,Anantapur,Bukkarayasamudram,14.6944,77.6381,22000.0,2020,0,0,1,0,3,1,22,10,4,0,6,4,2,0,3,1,2,70
Andhra Pradesh,West Godavari,Buttayagudem,17.2089,81.3014,12394.0,2020,0,0,0,0,1,0,15,4,0,0,4,1,2,0,2,0,0,34
Andhra Pradesh,Nalgonda,Chada,17.4992,79.0756,9984.0,2020,0,0,0,0,1,0,11,4,0,0,2,0,1,0,1,0,0,25
Andhra Pradesh,Kurnool,Chagalamarri,14.9667,78.5833,21289.0,2020,0,0,0,0,3,0,19,9,2,0,5,4,3,0,2,1,0,62
Andhra Pradesh,West Godavari,Chagallu,16.9833,81.6667,21703.0,2020,0,0,0,0,3,0,18,7,2,0,7,2,3,0,3,1,0,54
Andhra Pradesh,Prakasam,Chakicherla,15.1127,80.0366,9962.0,2020,0,0,0,0,1,0,8,3,1,0,2,0,1,0,0,0,0,22
Andhra Pradesh,Krishna,Challapalle,16.1167,80.9333,17067.0,2020,0,0,0,0,2,0,14,6,3,0,3,2,2,0,2,1,1,45
Andhra Pradesh,Guntur,Chamarru,16.65,80.1333,12232.0,2020,0,0,0,0,0,0,13,2,1,0,2,2,2,0,1,0,1,30
Andhra Pradesh,Chittoor,Chandragiri,13.5833,79.3167,20299.0,2020,0,0,0,0,1,0,30,6,2,0,5,4,4,0,2,0,1,59
Andhra Pradesh,Krishna,Chandralapadu,16.715,80.2089,10059.0,2020,0,0,0,0,1,0,11,2,0,0,3,1,1,0,0,0,0,24
Andhra Pradesh,East Godavari,Chandreru,17.098,81.9959,10733.0,2020,0,0,0,0,0,0,15,2,1,0,2,2,3,0,1,1,0,28
Andhra Pradesh,Nalgonda,Chandur,16.98,79.06,10880.0,2020,0,0,0,0,0,0,13,3,0,0,1,1,1,0,1,0,0,28
Andhra Pradesh,Krishna,Channubanda,17.0331,80.8056,8907.0,2020,0,0,0,0,1,0,10,4,1,0,2,0,1,0,2,0,0,25
Andhra Pradesh,Prakasam,Chapalamadugu,16.073,79.3775,8560.0,2020,0,0,0,0,1,0,7,3,0,0,3,1,1,0,1,0,0,20
Andhra Pradesh,Mahbubnagar,Charakunda,16.6916,78.7054,9039.0,2020,0,0,0,0,1,0,9,2,0,0,2,1,1,0,0,0,0,19
Andhra Pradesh,Nalgonda,Chautapal,17.2508,78.8972,19092.0,2020,0,0,0,0,2,0,24,5,2,0,3,2,3,0,2,1,1,52
Andhra Pradesh,West Godavari,Chebrolu,16.8206,81.4048,14216.0,2020,0,0,0,0,1,0,18,6,3,0,3,1,2,0,2,1,0,38
Andhra Pradesh,Mahbubnagar,Chegur,17.1758,78.2298,9870.0,2020,0,0,0,0,0,0,8,4,1,0,3,1,2,0,0,0,0,24
Andhra Pradesh,Karimnagar,Chegurumomadi,18.2361,79.1974,9750.0,2020,0,0,0,0,0,0,10,4,0,0,2,1,1,0,1,0,0,25
Andhra Pradesh,Cuddapah,Chennur,14.5667,78.8,16126.0,2020,0,0,0,0,0,0,13,7,2,0,3,2,2,0,4,1,0,37
Andhra Pradesh,Warangal,Cherial,17.9264,78.9719,18310.0,2020,0,0,1,1,2,0,21,8,3,0,3,4,2,0,3,1,0,55
Andhra Pradesh,Guntur,Cherlagandlapalem,16.0069,80.6117,11342.0,2020,0,0,0,0,0,0,14,2,2,0,3,2,0,0,0,1,0,27
Andhra Pradesh,Srikakulam,Chicacole,18.3,83.9,137944.0,2020,1,3,5,7,15,4,175,42,30,5,56,25,25,0,23,16,13,440
Andhra Pradesh,West Godavari,Chikkala,16.9698,81.5922,9185.0,2020,0,0,0,0,1,0,7,2,0,0,2,0,0,0,1,0,0,20
Andhra Pradesh,Guntur,Chilakalurupet,16.0892,80.1672,101398.0,2020,1,1,3,4,17,3,96,43,10,1,24,22,18,0,17,6,8,257
Andhra Pradesh,Anantapur,Chilamatturu,13.8394,77.7039,15449.0,2020,0,0,0,0,1,0,19,7,1,0,4,2,2,0,2,0,0,43
Andhra Pradesh,Nalgonda,Chilkuru,16.9611,79.9125,18952.0,2020,0,0,0,0,1,0,28,9,3,0,5,2,3,0,2,0,0,60
Andhra Pradesh,Karimnagar,Chilpur,18.2388,79.4529,9591.0,2020,0,0,0,0,1,0,9,3,1,0,3,2,1,0,1,0,0,26
Andhra Pradesh,Prakasam,Chimakurti,15.5149,80.0368,30279.0,2020,0,0,1,0,4,1,33,10,6,1,10,7,5,0,4,2,1,94
Andhra Pradesh,Krishna,Chimalapadu,16.8902,80.6505,13379.0,2020,0,0,0,0,0,0,13,5,2,0,5,2,1,0,2,0,0,33
Andhra Pradesh,Nellore,Chinna Annaluru,14.8913,79.6761,11006.0,2020,0,0,0,0,0,0,9,4,1,0,4,2,1,0,1,0,0,27
Andhra Pradesh,Prakasam,Chinna Ganjam,15.7,80.25,19060.0,2020,0,0,1,0,2,0,24,8,3,0,7,4,4,0,2,1,0,59
Andhra Pradesh,Krishna,Chinna Gollapalem,16.3701,81.5322,12738.0,2020,0,0,0,0,1,0,13,3,2,0,3,3,3,0,1,1,0,32
Andhra Pradesh,Warangal,Chinna Mupparam,17.6319,79.8411,8767.0,2020,0,0,0,0,0,0,10,2,0,0,2,2,1,0,0,1,0,20
Andhra Pradesh,Vishakhapatnam,Chinna Mushidivada,17.8057,83.2033,13425.0,2020,0,0,0,0,0,0,15,6,2,0,4,3,2,0,1,0,0,38
Andhra Pradesh,Cuddapah,Chinna Orampadu,14.0613,79.2671,11899.0,2020,0,0,0,0,1,0,13,5,2,0,3,3,2,0,1,1,1,33
Andhra Pradesh,Cuddapah,Chinnachauku,14.4732,78.8451,85442.0,2020,0,2,4,2,14,2,80,37,15,3,31,22,12,0,12,8,7,237
Andhra Pradesh,Cuddapah,Chinnamandem,13.9419,78.6814,10623.0,2020,0,0,0,0,1,0,14,3,1,0,2,2,1,0,1,0,0,29
Andhra Pradesh,West Godavari,Chinnayagudem,17.047,81.481,9150.0,2020,0,0,0,0,0,0,9,4,1,0,2,1,2,0,2,0,0,24
Andhra Pradesh,Cuddapah,Chintakommadinne,14.4267,78.7618,8661.0,2020,0,0,0,0,1,0,11,3,1,0,3,1,1,0,0,0,0,22
Andhra Pradesh,Cuddapah,Chintakunta,14.6476,78.469,11239.0,2020,0,0,0,0,2,0,15,4,1,0,4,2,1,0,1,0,0,33
Andhra Pradesh,Warangal,Chintalapalli,18.331,79.674,57434.0,2020,1,0,2,2,9,1,67,25,7,0,22,12,8,0,12,5,3,197
Andhra Pradesh,Krishna,Chintalapudi,17.0417,80.5901,25952.0,2020,0,0,1,0,3,1,30,11,3,0,9,6,3,0,4,2,2,77
Andhra Pradesh,Krishna,Chintapalle,16.8936,80.1387,11734.0,2020,0,0,0,0,0,0,17,3,2,0,3,2,2,0,1,1,1,38
Andhra Pradesh,Srikakulam,Chipurupalle,18.3,83.5667,14847.0,2020,0,0,0,0,1,0,16,4,3,0,5,4,3,0,2,0,0,44
Andhra Pradesh,Prakasam,Chirala,15.8246,80.3521,172826.0,2020,2,2,9,7,21,6,244,73,33,3,40,53,42,1,47,17,9,634
Andhra Pradesh,East Godavari,Chitrada,17.0802,82.2469,9122.0,2020,0,0,0,0,1,0,7,3,1,0,1,1,2,0,1,0,0,20
Andhra Pradesh,Chittoor,Chittoor,13.216,79.098,175647.0,2020,2,3,8,11,32,4,181,51,32,6,46,41,40,2,25,18,12,589
Andhra Pradesh,Cuddapah,Chitvel,14.1667,79.3333,8943.0,2020,0,0,0,0,1,0,7,2,0,0,2,2,1,0,0,0,0,18
Andhra Pradesh,Nalgonda,Chityal,17.2333,79.1333,13752.0,2020,0,0,0,0,1,0,10,5,1,0,3,2,2,0,2,0,0,35
Andhra Pradesh,Vishakhapatnam,Chodavaram,17.8333,82.95,20251.0,2020,0,0,0,0,2,0,18,5,2,0,4,3,3,0,3,1,0,51
Andhra Pradesh,Karimnagar,Chopadandi,18.5833,79.1667,16459.0,2020,0,0,0,0,2,0,15,5,2,0,5,2,3,0,2,1,0,34
Andhra Pradesh,East Godavari,Coringa,16.8,82.2333,12495.0,2020,0,0,0,0,0,0,19,5,2,0,4,2,3,0,2,1,0,43
Andhra Pradesh,Cuddapah,Cuddapah,14.47,78.82,344893.0,2020,6,11,16,19,47,12,430,105,76,9,130,82,81,2,78,38,20,1253
Andhra Pradesh,Prakasam,Cumbum,15.5667,79.1167,15169.0,2020,0,0,1,0,2,0,11,4,2,0,5,3,1,0,2,0,0,37
Andhra Pradesh,Guntur,Dachepalle,16.6,79.7333,19042.0,2020,0,0,0,1,3,0,19,6,4,0,8,4,3,0,4,0,0,53
